Discipline,Main Topic,Subtopics
Legislação Federal,51. Decreto 1.832 de 1996 - Aprovação do Regulamento dos Transportes Ferroviários,
Legislação Federal,52. Decreto 1.332 de 1994 - Política Nacional de Desenvolvimento das Atividades Espaciais – PNDAE,
Legislação Federal,53. Decreto 98.812 de 1990 - Regulamentação da Lei 7.805 de 1989 - Regime de Permissão de Lavra Garimpeira,
Legislação Federal,"54. Decreto-Lei 2.321 de 1987 - Instituição do regime de administração especial temporária, nas instituições financeiras privadas e públicas não federais",
Legislação Federal,55. Decreto 93.872 de 1986 - Unificação dos Recursos de Caixa do Tesouro Nacional,
Legislação Federal,56. Decreto nº 88.777 de 1983 - Regulamento para as Policias Militares e Corpos de Bombeiros Militares,
Legislação Federal,57. Decreto 85.064 de 1980 - Regulamenta a Lei 6.634 de 1979 - Faixa de Fronteira,
Legislação Federal,58. Decreto 76.900 de 1975 - Instituição da Relação Anual de Informações Sociais – RAIS,
Legislação Federal,59. Decreto 76.322 de 1975 - Regulamento Disciplinar da Aeronáutica (RDAER),
Legislação Federal,60. Decreto nº 70.274 de 1972 - Normas do Cerimonial Público e Ordem Geral de Precedência,
Legislação Federal,61. Decreto 70.235 de 1972 - processo administrativo fiscal,
Legislação Federal,62. Decreto 64.567 de 1969 - Regulamentação do Decreto-Lei 486 de 1969 - Escrituração e Livros Mercantis,
Legislação Federal,63. Decreto-Lei 666 de 1969 - obrigatoriedade de transporte em navio de bandeira brasileira,
Legislação Federal,64. Decreto-Lei 227 de 1967 - Código de Mineração,
Legislação Federal,65. Decreto-Lei 288 de 1967; Decreto-Lei 356 de 1968 e Decreto 61.244 de 1967 - Regulamentação da Zona Franca de Manaus,
Legislação Federal,66. Decreto-Lei 201 de 1967 - Responsabilidade dos Prefeitos e Vereadores,
Legislação Federal,67. Decreto-Lei 200 de 1967 - Organização da Administração Federal,
Legislação Federal,68. Decreto-Lei 7.841 de 1945 - Código de Águas Minerais,
Legislação Federal,69. Decreto-Lei 3.365 de 1941 - Desapropriações por utilidade pública,
Legislação Federal,70. Decreto-Lei 25 de 1937 - Organização do Patrimônio Histórico e Artístico Nacional,
Legislação Federal,71. Lei 13.344 de 2016 - Prevenção e repressão ao tráfico interno e internacional de pessoas,
Legislação Federal,72. Lei 13.254 de 2016 - Lei de Repatriação,
Legislação Federal,73. Lei 13.300 de 2016 – Processo e o Julgamento dos Mandado de Injunção Individual e Coletivo.,
Legislação Federal,74. Lei 13.185 de 2015 - Institui o Programa de Combate à Intimidação Sistemática - Bullying,
Legislação Federal,"75. Lei nº 13.019 de 2014 - Regime jurídico das parcerias entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação e Decreto nº 8.726 de 2016",
Legislação Federal,"76. Lei 12.840 de 2013 - Destinação de bens de valor cultural, artístico ou histórico aos museus",
Legislação Federal,77. Lei 12.830 de 2013 - Investigação criminal conduzida pelo delegado de polícia,
Legislação Federal,"78. Lei nº 12.846 de 2013 - Responsabilização administrativa e civil de pessoas jurídicas pela prática de atos contra a administração pública, nacional ou estrangeira - Lei Anticorrupção",
Legislação Federal,79. Lei 12.813 de 2013 - conflito de interesses no exercício de cargo ou emprego do Poder Executivo federal e impedimentos posteriores ao exercício do cargo ou emprego,
Legislação Federal,"80. Decreto 8.088 2013 (Revogado pelo Decreto 9.000 de 2017 - Cargos em Comissão e das Funções de Confiança do Ministério dos Transportes, Portos e Aviação Civil",
Legislação Federal,81. Lei nº 12.772 de 2012 - Estruturação do Plano de Carreiras e Cargos de Magistério Federal,
Legislação Federal,82. Lei 12.690 de 2012 - Organização e funcionamento das Cooperativas de Trabalho; instituição do Programa Nacional de Fomento às Cooperativas de Trabalho - PRONACOOP,
Legislação Federal,83. Lei 12.711 de 2012 - Ingresso nas universidades federais e nas instituições federais de ensino técnico de nível médio - Lei de Cotas,
Legislação Federal,84. Lei 12.694 de 2012 - Processo e julgamento colegiado em primeiro grau de jurisdição de crimes praticados por organizações criminosas,
Legislação Federal,"85. Lei 12.663 de 2012 - Medidas relativas à Copa das Confederações FIFA 2013, à Copa do Mundo FIFA 2014, à Jornada Mundial da Juventude 2013 - Lei Geral da Copa",
Legislação Federal,86. Lei 12.550 de 2011; Decreto 7.661 de 2011 - Empresa Brasileira de Serviços Hospitalares - EBSERH,
Legislação Federal,87. Lei nº 12.527 de 2011 - Lei de Acesso à Informação e Decreto nº 7.724 de 2012,
Legislação Federal,88. Lei 12.514 de 2011 - Atividades do médico-residente,
Legislação Federal,89. Lei 12.485 - Comunicação audiovisual de acesso condicionado,
Legislação Federal,90. Lei 11.438 de 2006 e Lei 12.395 de 2011 - incentivos e benefícios para fomentar as atividades de caráter desportivo,
Legislação Federal,"91. Lei 12.340 de 2010 - Transferências de recursos da União a Estados, Distrito Federal e Municípios para a execução de ações de prevenção em áreas de risco de desastres e de resposta e de recuperação em áreas atingidas por desastres. Fundo Nacional para Cal",
Legislação Federal,92. Lei 12.288 de 2010 - Estatuto da Igualdade Racial,
Legislação Federal,"93. Lei 12.249 de 2010 - Regime Especial de incentivos para o Desenvolvimento de Infraestrutura da Indústria Petrolífera nas Regiões Norte, Nordeste e Centro-Oeste - REPENEC. Programa Um Computador por Aluno - PROUCA. Regime Especial de Aquisição de Computado",
Legislação Federal,94. Lei 12.232 de 2010 - Licitação e contratação de serviços de publicidade por intermédio de agências de propaganda,
Legislação Federal,95. Lei 12.154 de 2009 – Superintendência Nacional de Previdência Complementar - PREVIC,
Legislação Federal,96. Lei nº 12.037 de 2009 - Identificação Criminal do Civilmente Identificado,
Legislação Federal,97. Lei 12.030 de 2009 - Perícias oficiais,
Legislação Federal,98. Lei 12.016 de 2009 - Mandado de Segurança individual e Coletivo,
Legislação Federal,99. Lei 12.010 de 2009 - Aperfeiçoamento da sistemática de adoção - Estatuto da Criança e do Adolescente - ECA,
Legislação Federal,100. Lei 11.952 de 2009 - Regularização Fundiária no Âmbito da Amazônia Legal,
Legislação Federal,101. Lei 11.941 de 2009 - Alteração da legislação tributária federal relativa ao parcelamento ordinário de débitos tributários; concessão de remissão; instituição de regime tributário de transição,
Legislação Federal,102. Lei 11.904 de 2009 - Instituição do Estatuto de Museus,
Legislação Federal,"103. Lei 11.892 de 2008 - Instituição da Rede Federal de Educação Profissional, Científica e Tecnológica. criação dos Institutos Federais de Educação, Ciência e Tecnologia",
Legislação Federal,104. Lei 11.794 de 2008 - Procedimentos Para Uso Científico de Animais,
Legislação Federal,105. Lei 11.788 de 2008 - Dispõe sobre o estágio de estudantes,
Legislação Federal,106. Lei 11.671 de 2008 - Transferência e Inclusão de Presos em Estabelecimentos Penais Federais de Segurança Máxima,
Legislação Federal,107. Lei 11.652 de 2008 - Instituição dos princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autorização para constituição da Empresa Brasil de Comunicação – EBC,
Legislação Federal,108. Lei 11.502 de 2007 - Modificação das competências e da estrutura organizacional da fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - CAPES,
Legislação Federal,109. Lei 11.440 de 2006 e Decreto 1.565 de 1995 - Regime jurídico dos servidores do Serviço Exterior Brasileiro,
Legislação Federal,110. Lei 11.419 de 2006 - Informatização do Processo Judicial,
Legislação Federal,"111. Lei 11.196 de 2005 - Regime Especial de Tributação para a Plataforma de Exportação de Serviços de Tecnologia da Informação - REPES, o Regime Especial de Aquisição de Bens de Capital para Empresas Exportadoras - RECAP. Programa de Inclusão Digital. incenti",
Legislação Federal,"112. Lei 11.091 de 2005 - Plano de Carreira dos Cargos Técnico-Administrativos em Educação, em Instituições Federais e Decreto nº 5.824 de 2006",
Legislação Federal,113. Lei 11.080 de 2004 e Decreto nº 5.352 de 2005 - Agência Brasileira de Desenvolvimento Industrial - ABDI,
Legislação Federal,114. Lei 10.861 de 2004 - Instituição do Sistema Nacional de Avaliação Superior - SINAES,
Legislação Federal,"115. Lei 10.931 de 2004 -patrimônio de afetação de incorporações imobiliárias, Letra de Crédito Imobiliário, Cédula de Crédito Imobiliário, Cédula de Crédito Bancário",
Legislação Federal,116. Lei nº 10.871 de 2004 - Criação de Carreiras e Organização de Cargos Efetivos das Autarquias Especiais Denominadas Agências Reguladoras,
Legislação Federal,117. Lei 10.742 de 2003 - Normas do regulação do setor farmacêutico,
Legislação Federal,118. Lei 10.711 de 2003 - Sistema Nacional de Sementes e Mudas,
Legislação Federal,119. Lei 10.683 de 2003 - Organização da Presidência da República e dos Ministérios,
Legislação Federal,120. Lei nº 10.671 de 2003 e Lei nº 12.299 de 2010-  Estatuto de Defesa do Torcedor,
Legislação Federal,121. Lei 10.610 de 2002 - participação de capital estrangeiro nas empresas jornalísticas e de radiodifusão sonora e de sons e imagens,
Legislação Federal,122. Lei nº 10.446 de 2002 - Infrações Penais de Repercussão Interestadual ou Internacional que Exigem Repressão Uniforme,
Legislação Federal,"123. Lei 10.188 de 2001 - Criação do Programa de Arrendamento Residencial, instituição do arrendamento residencial com opção de compra",
Legislação Federal,124. Lei 10.054 de 2000 - Identificação Criminal,
Legislação Federal,125. Lei nº 9.986 de 2000 - Gestão de Recursos Humanos das Agências Reguladoras,
Legislação Federal,126. Lei 9.674 de 1998 - exercício da profissão de Bibliotecário,
Legislação Federal,127. Lei nº 9.615 de 1998 e Lei nº 10.264 de 2001 - Normas Gerais sobre Desporto,
Legislação Federal,128. Lei 9.610 de 1998 - consolidação da legislação sobre direitos autorais,
Legislação Federal,129. Lei 9.514 de 1997 - Sistema de Financiamento Imobiliário. Instituição da alienação fiduciária de coisa imóvel,
Legislação Federal,"130. Lei 9.478 de 1997 - Política energética nacional; Atividades relativas ao monopólio do petróleo, Instituição do Conselho Nacional de Política Energética e da Agência Nacional do Petróleo - Lei do Petróleo",
Legislação Federal,131. Lei nº 9.454 de 1997 e Decreto nº 7.166 de 2010 - Criação do Sistema Nacional de Registro de Identificação Civil e instituição de seu Comitê Gestor,
Legislação Federal,"132. Lei nº 9.434 de 1997 - Remoção de Órgãos, Tecidos e Partes do Corpo Humano para Fins de Transplante e Tratamento e Decreto nº 9.175 de 2017",
Legislação Federal,133. Lei nº 9.394 de 1996 - Estabelecimento das Diretrizes e Bases da Educação Nacional (LDBEN) e suas alterações,
Legislação Federal,134. Lei 9.307 de 1996 - Arbitragem,
Legislação Federal,135. Lei 9.074 de 1995 - outorga e prorrogações das concessões e permissões de serviços públicos,
Legislação Federal,"136. Lei 9.055 de 1995 - Disciplina da extração, industrialização, utilização, comercialização e transporte do asbesto/amianto",
Legislação Federal,"137. Lei 9.034 de 1995 (revogado pela Lei 12.850 de 2.013) - Definição de organização criminosa. Investigação criminal, meios de obtenção da prova, infrações penais correlatas e procedimento criminal",
Legislação Federal,138. Lei 8.987 de 1995 - Regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da CRFB de 1988 - Lei de Concessões,
Legislação Federal,139. Lei 8.974 de 1995 (revogada pela Lei 11.105/2005) - Normas de segurança e mecanismos de fiscalização de atividades que envolvam organismos geneticamente modificados – OGM e seus derivados; criação do Conselho Nacional de Biossegurança – CNBS; reestruturaç,
Legislação Federal,140. Lei 8.854 de 1994 - Criação da Agência Espacial Brasileira - AEB,
Legislação Federal,"141. Lei 8.842 de 1994 - Política Nacional do Idoso, Conselho Nacional do Idoso e Decreto 1.948 de 1996",
Legislação Federal,"142. Lei 8.691 de 1993 – Plano de Carreiras para a área de Ciência e Tecnologia da Administração Federal Direta, das Autarquias e das Fundações Federais",
Legislação Federal,143. Lei 8.630 de 1993 - regime jurídico da exploração dos portos organizados e das instalações portuárias - Lei de Modernização dos Portos,
Legislação Federal,144. Lei 8.685 de 1993 - Criação de mecanismos de fomento à atividade audiovisual - Lei do Audiovisual,
Legislação Federal,145. Lei 8.560 de 1992 – Regulamentação da investigação de paternidade de filhos havidos fora do casamento,
Legislação Federal,146. Lei 8.313 de 1991 - Programa Nacional de Apoio à Cultura - Pronac - Lei de incentivo à cultura,
Legislação Federal,147. Lei 8.270 de 1991 – Reajuste da remuneração dos servidores públicos,
Legislação Federal,148. Lei nº 8.245 de 1991 - Locações dos Imóveis Urbanos - Lei de Locações,
Legislação Federal,149. Lei 8.176 de 1991 - Definição de crimes contra a ordem econômica e criação do Sistema de Estoques de Combustíveis,
Legislação Federal,150. Lei 8.159 de 1991 - Política Nacional de Arquivos Públicos e Privados,
Legislação Federal,"151. Lei 8.027 de 1990 – Normas de conduta dos servidores públicos civis da União, das Autarquias e das Fundações Públicas",
Legislação Federal,152. Lei 8.036 de 1990 - Fundo de Garantia do Tempo de Serviço,
Legislação Federal,153. Lei 8.009 de 1990 - Impenhorabilidade do Bem de Família,
Legislação Federal,154. Lei nº 7.913 de 1989 - Ação Civil Pública de Responsabilidade por Danos Causados aos Investidores no Mercado de Valores Mobiliários,
Legislação Federal,"155. Lei 7.766 de 1989 - Ouro, ativo financeiro e respectivo tratamento tributário",
Legislação Federal,156. Lei 7.565 de 1986 - Código Brasileiro da Aeronáutica,
Legislação Federal,"157. Lei 7.437 de 1985 - Inclui a prática de atos resultantes de preconceito de raça, cor, sexo e estado civil entre as contravenções penais  - Lei Afonso Arinos",
Legislação Federal,158. Lei 4.375 de 1984 - Lei do Serviço Militar,
Legislação Federal,"159. Lei 7.170 de 1983 – Definição de crimes contra a segurança nacional, a ordem política e social",
Legislação Federal,160. Lei nº 7.116 de 1983 e Lei nº 5.553 de 1968 - Regulamentação da Expedição das Carteiras de Identidade e Validade Nacional,
Legislação Federal,161. Lei 6.815 de 1980 (Revogada pela Lei 13.445 de 2017) Lei 6.964 de 1981 – Situação Jurídica do Estrangeiro no Brasil e Criação do Conselho Nacional de Imigração,
Legislação Federal,162. Lei 6.880 de 1980 - Estatuto dos Militares,
Legislação Federal,163. Lei 6.634 de 1979 - Faixa de Fronteira,
Legislação Federal,164. Lei 6.538 de 1978 - Serviços Postais,
Legislação Federal,165. Lei 6.530 de 1978 - nova regulamentação da profissão de Corretor de Imóveis. Funcionamento de seus órgãos de fiscalização. Legislação específica do COFECI – CRECI,
Legislação Federal,166. Lei 6.316 de 1975 -  Criação do Conselho Federal e dos Conselhos Regionais de Fisioterapia e Terapia Ocupacional e Legislação Específica,
Legislação Federal,167. Lei 6.091 de 1974 - Transporte Gratuito para Eleitores da Zona Rural,
Legislação Federal,168. Lei 6.024 de 1974 - Intervenção e a liquidação extrajudicial de instituições financeiras,
Legislação Federal,"169. Lei 6009 de 1973 - Utilização e exploração dos aeroportos, das facilidades à navegação aérea",
Legislação Federal,170. Lei 5.905 de 1973 - Criação dos Conselhos Federal e Regionais de Enfermagem e Resoluções do COFEN e CORENS,
Legislação Federal,171. Lei 5.764 de 1971 - Política Nacional de Cooperativismo. Instituição do Regime Jurídico das Sociedades Cooperativas,
Legislação Federal,172. Lei 5.700 de 1971 - Forma e a apresentação dos Símbolos Nacionais,
Legislação Federal,173. Lei 5.662 de 1971 - enquadramento do BNDES como empresa pública,
Legislação Federal,174. Lei Nº 4.886 de 1965 - Regulamentação das Atividades dos Representantes Comerciais Autônomos e Legislação Específica do CONFERE,
Legislação Federal,175. Lei 4.769 de 1965 - Exercício da profissão de Técnico de Administração - Conselho Federal de Administração e legislação específica,
Legislação Federal,176. Lei 4.717 de 1965 - Regulamentação da Ação Popular,
Legislação Federal,177. Lei 4.595 de 1964 - Lei da Reforma Bancária. Lei do Sistema Financeiro Nacional,
Legislação Federal,178. Lei 4.591 de 1964 - Condomínio em edificações e incorporações imobiliárias,
Legislação Federal,179. Lei 4.504 de 1964 - Estatuto da Terra,
Legislação Federal,180. Lei 4.084 de 1962 – Profissão de bibliotecário,
Legislação Federal,181. Lei 4.076 de 1962 - Regulamentação do exercício da profissão de geólogo,
Legislação Federal,182. Lei 3.924 de 1961 - Monumentos arqueológicos e pré-históricos,
Legislação Federal,183. Lei 2.800 de 1956 e Decreto 85.877 de 1981 - Criação do Conselhos Federal e dos Regionais de Química. Profissão de químico,
Legislação Federal,184. Lei 1.521 de 1951 - Crimes contra a economia popular,
Legislação Federal,185. Lei 1.060 de 1950 - Normas para a concessão de assistência judiciária aos necessitados - Lei da Justiça Gratuita,
Legislação Federal,186. Lei Complementar 125 de 2007 - Superintendência do Desenvolvimento do Nordeste SUDENE. Lei Complementar 124 de 2007 - Superintendência de Desenvolvimento da Amazônia SUDAM,
Legislação Federal,187. Lei Complementar 123 de 2006 - Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte - ME e EPP,
Legislação Federal,188. Lei complementar 105 de 2001 - sigilo das operações de instituições financeiras,
Legislação Federal,189. Lei Complementar nº 116 de 2003 - Imposto Sobre Serviços de Qualquer Natureza - ISSQN,
Legislação Federal,"190. Lei Complementar 97 de 1999 - Organização, preparo e emprego das Forças Armadas",
Legislação Federal,"191. Lei Complementar nº 95 de 1998 e Decreto nº 9.191 de 2017 - Elaboração, Redação Alteração e Consolidação das Leis",
Legislação Federal,192. Instrução Normativa MI 02 - Classificação e Codificação Brasileira de Desastres - COBRADE,
Legislação Federal,193. Instrução Normativa RFB 1.234 de 2012 - retenção de tributos nos pagamentos efetuados pelos órgãos da administração pública federal pelo fornecimento de bens e serviços,
Legislação Federal,"194. Instrução Normativa RFB 971 de 2009 - normas gerais de tributação previdenciária e de arrecadação das contribuições sociais destinadas à Previdência Social e as destinadas a outras entidades ou fundos, administradas pela Secretaria da Receita Federal do B",
Legislação Federal,195. ABNT NBR 5.410 de 2004 - Instalações elétricas de baixa tensão,
Legislação Federal,196. Lei Complementar nº 134 de 2010 - Conselho de Administração da Zona Franca de Manaus e Legislação Específica da SUFRAMA,
Legislação Federal,197. Resoluções do Conselho Federal de Farmácia,
Legislação Federal,198. Resoluções do Conselho Nacional de Política Criminal,
Legislação Federal,199. Portaria MPS 173 de 2008 - Aprovação dos Regimentos Internos dos órgãos do Ministério da Previdência Social,
Legislação Federal,"200. Portaria Interministerial 372 de 2005 do MDIC - Estabelecimento de prazo para a implantação do Sistema da Qualidade baseado nas normas NBR ISO 9000 da Associação Brasileira de Normas Técnicas - ABNT, para as empresas fabricantes de produtos industrializad",
Legislação Federal,201. Portaria 73 de 2001 da Secretaria de Estado de Assistência Social - Estabelece normas de funcionamento de serviços de atenção ao idoso no Brasil - Política Nacional do Idoso,
Legislação Federal,202. Medida Provisória  2.186-2016 de 2001 (revogada pela Lei nº 13.123 de 2015) - Acesso ao patrimônio genético. Proteção e acesso ao conhecimento tradicional associado. Repartição de benefícios para conservação e uso sustentável da biodiversidade,
Legislação Federal,203. Medida Provisória 2.228 de 2001 - Princípios gerais da Política Nacional do Cinema; Criação do Conselho Superior do Cinema e a Agência Nacional do Cinema - ANCINE. Instituição do Programa de Apoio ao Desenvolvimento do Cinema Nacional - PRODECINE. Autoriz,
Legislação Federal,204. Lei 12.847 de 2013 - Instituição do Sistema Nacional de Prevenção e Combate à Tortura; Criação do Comitê Nacional de Prevenção e Combate à Tortura e do Mecanismo Nacional de Prevenção e Combate à Tortura.,
Legislação Federal,205. Lei nº 8.745 de 1993,
Legislação Federal,206. Lei Complementar n.º 160 de 2017,
Legislação Federal,"207. Lei nº 5.172 de 1966 - Dispõe sobre o Sistema Tributário Nacional e Institui Normas Gerais de Direito Tributário Aplicáveis à União, Estados e Municípios",
Legislação Federal,"208. Lei nº 9.430 de 1996 - Dispõe sobre a Legislação Tributária Federal, as Contribuições para a Seguridade Social, o Processo Administrativo de Consulta",
Legislação Federal,209. Lei Complementar Federal nº 24 de 1975,
Legislação Federal,210. Lei nº 9.263 de 1996 - Lei do Planejamento Familiar,
Legislação Federal,211. Lei nº 11.473 de 2007 - Dispõe sobre cooperação federativa no âmbito da segurança pública e revoga a Lei nº 10.277 de 2001,
Legislação Federal,212. Lei nº 13.675 de 2018 - Política Nacional de Segurança Pública e Defesa Social (PNSPDS) e Sistema Único de Segurança Pública (Susp),
Legislação Federal,"213. Lei nº 13.460 de 2017 - Dispõe sobre participação, proteção e defesa dos direitos do usuário dos serviços públicos da administração pública",
Legislação Federal,"214. Lei Complementar n° 142 de 2013 -  Regulamenta o § 1º do art. 201 da Constituição Federal, no tocante à aposentadoria da pessoa com deficiência segurada do Regime Geral de Previdência Social - RGPS",
Legislação Federal,215. Lei nº 3.268 de 1957 e Decreto nº 44.045 de 1958 - Dispõe sobre os Conselhos de Medicina,
Legislação Federal,216.  Lei nº 13.260/2016 – Lei Antiterrorismo,
Legislação Federal,"217. Decreto 7.579 de 2011 - Sistema de Administração dos Recursos de Tecnologia da Informação - SISP, Poder Executivo federal",217.1 Estratégia Geral de Tecnologia da Informação - 2013 a 2015
Legislação Federal,218. Lei n° 13.690 de 2018 - Cria o Ministério da Segurança Pública,
Legislação Federal,"219. Lei nº 8.501 de 1992 - Dispõe sobre a utilização de cadáver não reclamado, para fins de estudos ou pesquisas científicas",
Legislação Federal,220. Instrução Normativa MP SLTI nº 4 de 2014  - Dispõe sobre o processo de contratação de soluções de tecnologia da informação pelos órgãos integrantes do Sistema de Administração dos Recursos de Informação e Informática - SISP - do Poder Executivo Federal,
Legislação Federal,"221. Instrução Normativa MPOG nº 5 de 2017 - Dispõe sobre as regras e diretrizes do procedimento de contratação de serviços sob o Regime de Execução Indireta no âmbito da Administração Pública Federal Direta, Autárquica e Fundacional",
Legislação Federal,222. Portaria Interministerial MME n° 1.877 de 1985 - Programa Nacional de Conservação de Energia Elétrica - Procel,
Legislação Federal,223. Lei Complementar nº 94 de 1998 - Autoriza a criação da Região Integrada de Desenvolvimento do Distrito Federal e Entorno - RIDE e Programa Especial de Desenvolvimento do Entorno do DF,
Legislação Federal,224. Decreto nº 8.428 de 2015 - Procedimento de Manifestação de Interesse a ser observado na apresentação de projetos,
Legislação Federal,225. Lei nº 12.343 de 2010 - Plano Nacional de Cultura,
Legislação Federal,226. Decreto nº 7.559 de 2011 - Plano Nacional do Livro e Leitura - PNLL,
Legislação Federal,227. Estrutura Regimental e o Quadro Demonstrativo dos Cargos em Comissão e das Funções de Confiança do Ministério da Cultura,
Legislação Federal,228. Lei nº 13.018 de 2014 - Institui a Política Nacional de Cultura Viva,
Legislação Federal,229. Resolução Conjunta nº 1 de 2014 - Conselho Nacional de Política Criminal e Penitenciária e do Conselho Nacional LGBT,
Legislação Federal,230. Portaria Interministerial nº 210 de 2014,
Legislação Federal,231. Lei Complementar nº 87 de 1996 - Imposto sobre Circulação de Mercadorias e Serviços - ICMS - Lei Kandir,
Legislação Federal,232. Agência de Promoção de Exportações do Brasil e Legislação Específica - Apex-Brasil,"232.1 Lei n° 10.668 de 2003 - Autoriza o Poder Executivo a instituir o Serviço Social Autônomo Agência de Promoção de Exportações do Brasil - Apex-Brasil, 232.2 Decreto n° 4.584 de 2003 - Institui o Serviço Social Autônomo Agência de Promoção de Exportações do Brasil - Apex-Brasil, 232.3 Regulamentos da Agência de Promoção de Exportações do Brasil - Apex-Brasil, 232.4 Programa de Compliance da Apex-Brasil, 232.5 Resolução CDA nº 10 de 2019 - Estatuto Social da Apex-Brasil"
Legislação Federal,"233. Lei nº 6.693 de 1979 - Dispõe sobre a constituição, no Território Federal de Roraima, da Companhia de Desenvolvimento de Roraima - CODESAIMA",
Legislação Federal,234. Lei nº 7.357 de 1985 – Dispõe Sobre o Cheque,
Legislação Federal,235. Decreto nº 5.840 de 2006 - Dispõe Sobre o Programa Nacional de Integração da Educação Profissional com a Educação Básica na Modalidade de Educação de Jovens e Adultos – PROEJA,
Legislação Federal,236. Lei nº 12.188 de 2010 - Política Nacional de Assistência Técnica e Extensão Rural para a Agricultura Familiar e Reforma Agrária,
Legislação Federal,"237. Lei nº 10.233 de 2001 - Reestruturação dos Transportes Aquaviário e Terrestre e Criação da ANTT, ANTAQ, Conselho Nacional de Integração de Políticas de Transporte e Departamento Nacional de Infra-Estrutura de Transportes",
Legislação Federal,238. Lei nº 2.889 de 1956 - Crime de Genocídio,
Legislação Federal,239. Lei nº 12.334 de 2010 - Política Nacional de Segurança de Barragens,
Legislação Federal,240. Decreto nº 8.539 de 2015 - Meio Eletrônico para o Processo Administrativo,
Legislação Federal,"241. Decreto n° 9.057 de 2017 - Regulamenta o art. 80 da Lei n° 9.394 de 1996, que estabelece as diretrizes e bases da educação nacional",
Legislação Federal,242. Lei nº 9.537 de 1997 - Lei Especial de Segurança do Tráfego Aquaviário (LESTA),
Legislação Federal,"243. Decreto nº 7.174 de 2010 - Regulamenta a contratação de bens e serviços de informática e automação pela administração pública federal, direta ou indireta, pelas fundações instituídas ou mantidas pelo Poder Público e pelas demais organizações sob o control",
Legislação Federal,"244. Lei n° 5.836 de 1972, Decreto n° 71.500 de 1972 e Decreto n° 88.545 de 1983 - Conselho de Justificação, Conselho de Disciplina e Regulamento Disciplinar da Marinha",
Legislação Federal,245. Lei nº 6.662 de 1979 - Política Nacional de Irrigação,
Legislação Federal,246. Decreto nº 7.626 de 2011 - Plano Estratégico de Educação no âmbito do Sistema Prisional,
Legislação Federal,247. Instrução Normativa nº 2 de 2008 - MPOG/CGU,
Legislação Federal,248. Instrução Normativa nº 3 de 2017 - MPOG/CGU,
Legislação Federal,249. Instrução Normativa nº 8 de 2017 - MPOG/CGU,
Legislação Federal,250. Lei nº 4.923 de 1965 - Cadastro Permanente das Admissões e Dispensas de Empregados - CAGED,
Legislação Federal,251. Decreto nº 9.194 de 2017 -  Dispõe sobre a Remessa de Créditos Constituídos pelas Autarquias e Fundações Públicas Federais para a Procuradoria-Geral Federal - Cadin,
Legislação Federal,"252. Lei nº 13.726 de 2018 - Racionaliza atos e procedimentos administrativos dos Poderes da União, dos Estados, do Distrito Federal e dos Municípios e institui o Selo de Desburocratização e Simplificação",
Legislação Federal,253. Decreto-lei n.º 857 de 1969 - Consolida e altera a legislação sobre moeda de pagamento de obrigações exequíveis no Brasil,
Legislação Federal,254. Lei nº 9.532 de 1997 - Altera a Legislação Tributária Federal,
Legislação Federal,255. Lei nº 8.437 de 1992 - Medidas Cautelares Contra Atos do Poder Público,
Legislação Federal,256. Resolução nº 56 de 2012 do Conselho Superior do Instituto Federal do Paraná - IFPR,
Legislação Federal,"257. Resolução nº 3.922 de 2010 - Aplicações dos Recursos dos Regimes Próprios de Previdência Social Instituídos pela União, Estados, Distrito Federal e Municípios",
Legislação Federal,"258. Lei nº 9.717 de 1998 - A organização e o funcionamento dos regimes próprios de previdência social dos servidores públicos da União, dos Estados, do Distrito Federal e dos Municípios, dos militares dos Estados e do Distrito Federal",
Legislação Federal,259. Portaria MDA nº 37 de 2009 - Condições e procedimentos para o cadastramento das ocupações a serem regularizadas,
Legislação Federal,260. Lei nº 8.650 de 1993 - Relações de Trabalho do Treinador Profissional de Futebol,
Legislação Federal,261. Instrução Normativa nº 4 de 2009 do Ministro de Estado do Controle e da Transparência,
Legislação Federal,262. Lei nº 12.608 de 2012 -  Política Nacional de Proteção e Defesa Civil - PNPDEC; o Sistema Nacional de Proteção e Defesa Civil - SINPDEC e Legislação Específica,
Legislação Federal,"263. Decreto nº 3.100 de 1999 - Regulamenta a Lei nº 9.790 de 1999, que dispõe sobre a qualificação de pessoas jurídicas de direito privado, sem fins lucrativos, como Organizações da Sociedade Civil de Interesse Público",
Legislação Federal,264. Decreto nº 3.591 de 2000 - Sistema de Controle Interno do Poder Executivo Federal e Legislação Específica,
Legislação Federal,265. Lei nº 13.022 de 2014 - Estatuto Geral das Guardas Municipais,
Legislação Federal,266. Lei n° 6.496 de 1977,
Legislação Federal,267. Lei n° 6.839 de 1980,
Legislação Federal,268. Lei nº 9.637 de 1998 - Qualificação de Entidades Como Organizações Sociais,
Legislação Federal,"269. Lei nº 9.790 de 1999 - Qualificação de Pessoas Jurídicas de Direito Privado, Sem Fins Lucrativos, como Organizações da Sociedade Civil de Interesse Público",
